,tip_smjestaja,dolasci_stranih_turista,dolasci_domacih_turista,nocenje_stranih_turista,nocenje_domacih_turista
0,Hotel,394527,48595,1766821,156099
1,Garni hotel,27553,2188,101828,4248
2,Mali hotel,56735,7626,171601,21000
3,Boutique hotel,3332,76,6441,97
4,Apart hotel,8323,344,52240,1314
5,Turističko naselje,59949,3450,331009,18335
6,Motel,476,217,796,290
7,Gostionica,91,1,366,3
8,Pansion,5885,342,47318,2393
9,Kamp,5478,85,20648,250
10,Etno selo,914,16,1121,18
11,Eco lodge,29,0,79,0
12,Odmaralište,8948,9675,70195,43480
13,Hostel,10700,932,41758,6201
14,Nekategorisani objekti,3778,259,15239,962
15,Lječilišta,8123,7695,93358,110126
16,Individualni turistički smještaj,755456,85578,5875838,592311
