,zemlja_porijekla,dolasci,nocenja
0,Albanija,25971,104310
1,Austrija,16889,75394
2,Belgija,8169,39252
3,Bjelorusija,20734,135989
4,Bosna i Hercegovina,91453,631588
5,Bugarska,7117,24090
6,Češka Republika,27286,177406
7,Danska,2820,12606
8,Estonija,1046,5366
9,Finska,2107,7021
10,Francuska,36602,186653
11,Grčka,4881,11062
12,Holandija,5501,27880
13,Hrvatska,23358,102040
14,Irska,3363,17202
15,Island,580,1883
16,Italija,31066,124663
17,Kosovo,35327,276751
18,Letonija,1337,5025
19,Litvanija,4911,32097
20,Luksemburg,1335,5688
21,Mađarska,17677,91746
22,Makedonija,22497,179527
23,Norveška,8069,59172
24,Njemačka,34722,190827
25,Poljska,44764,227413
26,Portugalija,2715,12456
27,Rumunija,18867,98391
28,Rusija,300177,2367000
29,Slovačka,8113,51709
30,Slovenija,16651,63495
31,Srbija (bez Kosova),303135,2115867
32,Švajcarska,8927,39722
33,Švedska,9566,55541
34,Španija,3349,12195
35,Turska,18428,33305
36,Ukrajina,65649,467782
37,Velika Britanija,23885,122334
38,Ostale evropske zemlje,12570,56721
39,Australija,3921,16761
40,Izrael,10077,19784
41,Japan,2231,3546
42,Kanada,3020,11251
43,Novi Zeland,718,1661
44,SAD,10414,34264
45,Ostale vanevropske zemlje,22408,77779
