opstina,dolasci_stranih_turista,dolasci_domacih_turista,nocenje_stranih_turista,nocenje_domacih_turista
Andrijevica,57,259,72,319
Bar,178426,10690,1487979,42611
Berane,1391,990,1806,1293
Bijelo Polje,4126,2749,8698,5052
Budva,741870,64601,4659848,345069
Cetinje,5864,12060,10128,38709
Danilovgrad,1735,58,3084,94
Herceg Novi,266312,13748,2020128,139764
Kolašin,22131,7872,47815,16998
Kotor,87787,1027,410540,4277
Mojkovac,1269,217,1759,350
Nikšić,5994,1198,17081,2639
Plav,1086,664,1909,1125
Pljevlja,2426,1878,5292,6044
Plužine,4260,693,6400,1552
Podgorica,86517,10910,150701,26490
Rožaje,808,624,1293,901
Tivat,67577,6784,710164,23378
Ulcinj,155195,8585,934548,49189
Šavnik,194,60,243,82
Žabljak,27096,6029,48987,15594
